"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C371,C381";"VSCN_SM0402_RL";2;"18pF";;;
2;"C372,C382";"VSCN_SM0402_RL";2;"1pF";;;
3;"C373";"VSCN_SM0402_RL";1;"1.2pF";;;
4;"C374";"VSCN_SM0402_RL";1;"NO";;;
5;"L372,L373,L381";"VSCN_SM0402_RL";3;"2nH";;;
6;"L375";"VSCN_SM0402_RL";1;"3.3nH";;;
7;"C6,C8";"VSCN_SM0402";2;"47pF";;;
8;"C11,C13";"VSCN_SM0402";2;"22pF";;;
9;"C101,C331,C361,C391,C151,C241,C431";"VSCN_SM0402";7;"100nF";;;
10;"C392";"VSCN_SM0402";1;"220pF";;;
11;"JP1";"VSCN_PIN_ARRAY_2X1";1;"JUMPER";;;
12;"R1,R4";"VSCN_SM0402";2;"33";;;
13;"R11";"VSCN_SM0402";1;"2";;;
14;"R13,R14,R15";"VSCN_SM0402";3;"400";;;
15;"R16,R17,R18,R19,R20,R2,R3";"VSCN_SM0402";7;"10K";;;
16;"U3";"VSCN-SOT23-5";1;"TPS76933";;;
17;"U5";"MPL115A2";1;"MPL115A2";;;
18;"X1";"FA-128_32MH";1;"32MHz";;;
19;"U8";"MICRO_SD";1;"MICRO_SD";;;
20;"D0,D1,D2";"VSCN_SM0402_POL";3;"LED";;;
21;"C10,C14";"VSCN_SM0603";2;"1uF";;;
22;"P4,P5,P6,P8";"fiducial15";4;"CONN_1";;;
23;"PCI1";"CONN_PCI_2X18_IN";1;"CONN_18X2";;;
24;"U4";"VSCN-DFN_6X5";1;"VSCN-24AA512";;;
25;"U1";"QFN-N56";1;"CC2538";;;
26;"C2";"VSCN_SM0402";1;"100n";;;
27;"C3,C5";"VSCN_SM0402";2;"18p";;;
28;"C15,C321,C551,C561";"VSCN_SM0402";4;"1uF";;;
29;"C16";"VSCN_SM0402";1;"47uF";;;
30;"C281";"VSCN_SM0402";1;"1nF";;;
31;"FB1";"VSCN_SM0603";1;"BLM18HE152SN1";;;
32;"P1";"VSCN_USBA-PLUG";1;"USB-PLUG";;;
33;"R5";"VSCN_SM0402";1;"47K";;;
34;"R12";"VSCN_SM0402";1;"4.4K";;;
35;"R281";"VSCN_SM0402";1;"2.2K";;;
36;"R421";"VSCN_SM0402";1;"56K";;;
37;"U2";"QFN-N16";1;"PCF2123BS";;;
38;"U7";"BH1620FVC";1;"BH1620FVC1";;;
39;"X2";"FC-12M_32_768KH";1;"32.768kHz";;;
40;"C17";"VSCN_SM0603";1;"2.2uF";;;
41;"P7";"front_vsoh_logo";1;"CN";;;
42;"PAD-NOMASKS";"PAD-NOMASKS";1;"VAL**";;;
43;"U6";"VSCN_2_4TI1C-ANTENNA";1;"VSCN_2_4TI1C-ANTENNA";;;
